index,value
649,162868
650,168125
651,168127
652,168152
653,168159
654,168171
655,168182
656,168201
657,171024
658,171035
659,171047
660,172545
661,172547
662,172553
663,172596
664,173915
665,173934
666,175678
667,175680
668,175686
669,175694
670,176217
671,178205
672,178207
673,178213
674,178221
675,178240
676,178242
677,181296
678,181298
679,181304
680,181338
681,183121
682,183129
683,183173
684,184954
685,184956
686,185465
687,185467
688,185473
689,187718
690,187720
691,187726
692,187734
693,187746
694,187761
695,187783
696,187798
697,192969
698,192971
699,193154
700,193156
701,193162
702,194212
703,194218
704,196251
705,196253
706,196259
707,196267
708,197053
709,199092
710,199099
711,199139
712,199141
713,199353
714,199363
715,202410
716,202412
717,202418
718,202426
719,202445
720,202447
721,205782
722,205784
723,205805
724,206310
725,206312
726,208074
727,208085
728,208093
729,210351
730,210353
731,210359
732,210367
733,210394
734,213035
735,213224
736,213226
737,213232
738,213244
739,213252
740,213274
741,217357
742,217365
743,218611
744,218613
745,218619
746,218627
747,218639
748,218711
749,221499
750,221501
751,221515
752,223309
753,223311
754,224305
755,224307
756,224321
757,224327
758,224335
759,227443
760,227445
761,228422
762,228428
763,228436
764,230266
765,230268
766,231532
767,231534
768,231540
769,231548
770,234376
771,234378
772,234384
773,234392
774,236643
775,236649
776,236651
777,236671
778,236678
779,236707
780,240807
781,240811
782,241269
783,241273
784,241277
785,241296
786,241303
787,241319
788,241339
789,246732
790,246739
791,247481
792,247483
793,247489
794,247497
795,249571
796,249587
797,249591
798,251888
799,251890
800,251896
801,252842
802,252844
803,252850
804,252858
805,252885
806,257270
807,257272
808,257278
809,257286
810,258526
811,258528
812,258534
813,258542
814,261402
815,261404
816,261410
817,261418
818,261430
819,265721
820,265723
821,265729
822,265737
823,265749
824,265764
825,269138
826,269140
827,269150
828,269593
829,269597
830,269601
831,269609
832,273686
833,273688
834,273698
835,273709
836,273720
837,277354
838,277361
839,277365
840,277376
841,277617
842,277625
843,277647
844,277654
845,282758
846,282764
847,282766
848,282778
849,282786
850,282801
851,286079
852,286081
853,286087
854,286095
855,289205
856,289207
857,289230
858,290260
859,290262
860,290268
861,291774
862,291789
863,293837
864,293839
865,293845
866,293859
867,293866
868,296928
869,296939
870,299262
871,299495
872,299497
873,299509
874,299516
875,302579
876,302581
877,302599
878,303400
879,303402
880,305457
881,305468
882,305472
883,305645
884,305649
885,305696
886,310552
887,310554
888,310560
889,311668
890,311799
891,311801
892,311809
893,311820
894,311828
895,316982
896,316984
897,316990
898,316998
899,317018
900,317026
901,321374
902,321376
903,321382
904,321394
905,321670
906,321674
907,324726
908,324728
909,325482
910,325484
911,325810
912,325816
913,325818
914,329819
915,329821
916,329829
917,329848
918,329855
919,329870
920,329899
921,335538
922,335540
923,335546
924,335554
925,338684
926,338692
927,338840
928,338842
929,338848
930,338856
931,338877
932,338892
933,344700
934,344702
935,344721
936,344723
937,344737
938,344751
939,344771
940,344773
941,350145
942,350147
943,350155
944,350163
945,350175
946,350191
947,353589
948,355571
949,355573
950,355579
951,355587
952,355599
953,355614
954,358734
955,359969
956,359975
957,359977
958,360003
959,360005
960,364140
961,364160
962,364369
963,364371
964,366711
965,366713
966,366719
967,369701
968,369703
969,369709
970,369717
971,369736
972,369738
973,370521
974,370523
975,370529
976,377193
977,377195
978,377201
979,377209
980,377230
981,380059
982,380061
983,380067
984,380075
985,380087
986,383637
987,383639
988,383645
989,383653
990,383665
991,383680
992,388780
993,388782
994,388802
995,388810
996,388822
997,392400
998,392402
999,392410
1000,394965
1001,394967
1002,394973
1003,394981
1004,395008
1005,395016
1006,395051
1007,395297
1008,395299
1009,403283
1010,403302
1011,403463
1012,403467
1013,403471
1014,403483
1015,403499
1016,403989
1017,403991
1018,409162
1019,409166
1020,411366
1021,411370
1022,411425
1023,411432
1024,411436
1025,411452
1026,416621
1027,416623
1028,416642
1029,416650
1030,416658
1031,416852
1032,416854
1033,416872
1034,416874
1035,423058
1036,423060
1037,423066
1038,423074
1039,423095
1040,427961
1041,427963
1042,427969
1043,427977
1044,427989
1045,428227
1046,428233
1047,433136
1048,433548
1049,433555
1050,433570
1051,433576
1052,433578
1053,437005
1054,437007
1055,437013
1056,437175
1057,437177
1058,437203
1059,437205
1060,444619
1061,444621
1062,444627
1063,444635
1064,444647
1065,444684
1066,444695
1067,444707
1068,450921
1069,451023
1070,451025
1071,451048
1072,451052
1073,451067
1074,451082
1075,451111
1076,458320
1077,458322
1078,458328
1079,458347
1080,458349
1081,459601
1082,459607
1083,463701
1084,463703
1085,463709
1086,463717
1087,463729
1088,463744
1089,468102
1090,468104
1091,468110
1092,468118
1093,470189
1094,470191
1095,470438
1096,470440
1097,475544
1098,475551
1099,475555
1100,475563
1101,475574
1102,478641
1103,478643
1104,478649
1105,478657
1106,478669
1107,484004
1108,484006
1109,484012
1110,484020
1111,484032
1112,487428
1113,487430
1114,489966
1115,489968
1116,489974
1117,489982
1118,489994
1119,492540
1120,492542
1121,492548
1122,492556
1123,497796
1124,497874
1125,497876
1126,497886
1127,497906
1128,497916
1129,497934
1130,497970
1131,504679
1132,506477
1133,506479
1134,506485
1135,506493
1136,506505
1137,506521
1138,510106
1139,510110
1140,512150
1141,514163
1142,514167
1143,514171
1144,514189
1145,516830
1146,516832
1147,516999
1148,517001
1149,517026
1150,521927
1151,521929
1152,522418
1153,522420
1154,522648
1155,522650
1156,522656
1157,522675
1158,522677
1159,531417
1160,531419
1161,531425
1162,531433
1163,534199
1164,534201
1165,534207
1166,534215
1167,534227
1168,534266
1169,534285
1170,534300
1171,541995
1172,541997
1173,542003
1174,542011
1175,542786
1176,542790
1177,542794
1178,546123
1179,546125
1180,546131
1181,546157
1182,546159
1183,554056
1184,554058
1185,554064
1186,554072
1187,554084
1188,554891
1189,554899
1190,554907
1191,554919
